Opt Type,,secure_rate_cliquet,secure_rate_cliquet,secure_rate_cliquet,secure_rate_cliquet,secure_rate_cliquet,secure_rate_cliquet,secure_rate_cliquet,secure_rate_cliquet,secure_rate_cliquet,secure_rate_cliquet,secure_rate_cliquet,secure_rate_cliquet,secure_rate_cliquet,secure_rate_cliquet,secure_rate_cliquet,secure_rate_cliquet,secure_rate_gmab,secure_rate_gmab,secure_rate_gmab,secure_rate_gmab,secure_rate_gmab,secure_rate_gmab,secure_rate_gmab,secure_rate_gmab,secure_rate_gmab,secure_rate_gmab,secure_rate_gmab,secure_rate_gmab,secure_rate_gmab,secure_rate_gmab,secure_rate_gmab,secure_rate_gmab,secure_rate_gmab,secure_rate_gmab,secure_rate_gmab,secure_rate_gmab,secure_rate_gmab,secure_rate_gmab,secure_rate_gmab,secure_rate_gmab,secure_rate_gmab,secure_rate_gmab,secure_rate_gmab,secure_rate_gmab,secure_rate_gmab,secure_rate_gmab,secure_rate_gmab,secure_rate_gmab,secure_rate_gmab,secure_rate_gmab,secure_rate_gmab,secure_rate_gmab,secure_rate_gmab,secure_rate_gmab,secure_rate_gmab,secure_rate_gmab,secure_rate_gmab,secure_rate_gmab,secure_rate_gmab,secure_rate_gmab,secure_rate_gmab,secure_rate_gmab,secure_rate_gmab,secure_rate_gmab,gmab,gmab,gmab,gmab,gmab,gmab,gmab,gmab,gmab,gmab,gmab,gmab,gmab,gmab,gmab,gmab,gmab,gmab,gmab,gmab,gmab,gmab,gmab,gmab,gmab,gmab,gmab,gmab,gmab,gmab
1,4,0.030523425,0.061230738,0.12289744,0.24482638,0.35971284,0.46116397,0.6010544,0.67657304,0.040131614,0.0811195,0.16528095,0.33894864,0.511687,0.6722568,0.9113645,1.0516446,0.04427718,0.06569578,0.12434386,0.2462728,0.36115927,0.4626104,0.6025008,0.67801946,0.08515591,0.088770814,0.1320104,0.24788947,0.3626057,0.46405682,0.6039472,0.6794659,0.12773389,0.12775254,0.15012656,0.25541484,0.3647212,0.46550325,0.60539365,0.6809123,0.05676387,0.08515854,0.166419,0.3394305,0.5121689,0.67273873,0.9118464,1.0521264,0.11045306,0.11408113,0.1735548,0.34148228,0.51273644,0.6732206,0.91232824,1.0526084,0.16567971,0.16572651,0.19392434,0.345233,0.5159207,0.67478544,0.9131377,1.0534177,0.013753754,0.004465041,0.001446423,0.001446423,0.001446423,0.054632485,0.027540078,0.00911296,0.005628953,0.0030631,0.09721045,0.06652181,0.027229123,0.014072476,0.010588473,0.016632255,0.004039044,0.001138047,0.00048188,0.00048188,0.07032145,0.03296163,0.008273842,0.003711202,0.002533654,0.1255481,0.08460701,0.028643388,0.013030264,0.006284364
1,5,0.030735487,0.061644636,0.12366868,0.2459568,0.36030293,0.45987436,0.5931734,0.66157436,0.040342476,0.08153784,0.16608153,0.34019655,0.5124384,0.6709579,0.9022299,1.0332419,0.044372234,0.0659457,0.12502572,0.24731383,0.36165997,0.4612314,0.5945304,0.6629314,0.08533564,0.08896097,0.13245028,0.24880876,0.363017,0.46258843,0.5958875,0.66428846,0.12800334,0.12800309,0.1504217,0.25621182,0.3650176,0.46394548,0.5972445,0.6656455,0.056842204,0.085474364,0.16717595,0.34064695,0.51288885,0.67140836,0.90268034,1.0336922,0.11064562,0.11424726,0.17415202,0.34263566,0.5134179,0.6718587,0.9031307,1.0341427,0.16596863,0.16601035,0.19432655,0.34620506,0.5165211,0.67345536,0.9039292,1.0349411,0.013636746,0.004301061,0.001357035,0.001357035,0.001357035,0.054600157,0.027316332,0.008781606,0.005466209,0.002851966,0.09726785,0.066358455,0.026753012,0.013570435,0.010255039,0.016499728,0.003936519,0.001094409,0.000450404,0.000450404,0.07030314,0.032709416,0.008070486,0.003551452,0.002439108,0.12562616,0.084472515,0.028245011,0.01272641,0.0060085
1,6,0.030990055,0.06213339,0.12453359,0.24686043,0.35927743,0.45390478,0.5734953,0.6297461,0.04045401,0.08175031,0.16643704,0.34023112,0.5101739,0.6630433,0.8780426,0.993333,0.04420516,0.06601915,0.12568574,0.24801257,0.36042956,0.4550569,0.5746475,0.63089824,0.085013255,0.08862734,0.13247342,0.24927974,0.3615817,0.45620906,0.5757996,0.63205034,0.1275199,0.12752023,0.14986517,0.2562234,0.36373,0.45742306,0.57695174,0.6332025,0.05642293,0.0853901,0.16741507,0.3406086,0.5105514,0.6634208,0.87842005,0.99371046,0.10991409,0.11342545,0.17391054,0.3424156,0.5110099,0.6637983,0.87879753,0.99408793,0.16487111,0.16489702,0.19332416,0.34554344,0.5138454,0.6653975,0.87959087,0.9948813,0.013215104,0.003885757,0.001152137,0.001152137,0.001152137,0.054023203,0.026493944,0.007939837,0.005014722,0.002419305,0.09652985,0.06538684,0.025331575,0.012288084,0.00936297,0.015968917,0.003639785,0.000978021,0.000377491,0.000377491,0.06946008,0.031675138,0.007473499,0.003145167,0.002184473,0.1244171,0.08314671,0.026887119,0.011814873,0.005312314
1,7,0.030293923,0.06064928,0.12117214,0.23859788,0.34562352,0.43636835,0.559855,0.626642,0.03997524,0.08068326,0.16382225,0.33297908,0.49717,0.6453984,0.8639317,0.9917863,0.044398505,0.06493803,0.12266899,0.2398889,0.34691453,0.43765935,0.561146,0.627933,0.085802644,0.088976055,0.12994534,0.24193367,0.3482746,0.4389504,0.562437,0.629224,0.12870403,0.12870437,0.1487609,0.24914421,0.35118908,0.44162402,0.5651106,0.6318976,0.056882724,0.084717125,0.16493756,0.33340576,0.49759668,0.6458251,0.8643584,0.992213,0.1111989,0.11428747,0.17212753,0.3354725,0.49834627,0.6465015,0.8650348,0.9928894,0.1667984,0.16681264,0.19302408,0.33969414,0.5013473,0.6481563,0.8659981,0.9938527,0.014104583,0.004288754,0.001496853,0.001291018,0.001291018,0.055508718,0.028326778,0.008773208,0.005727023,0.003335786,0.09841011,0.06805509,0.027588766,0.014040725,0.010546325,0.016907483,0.004033865,0.001115304,0.000501626,0.000426685,0.071223654,0.033604205,0.008305279,0.003522352,0.002493417,0.12682316,0.086129375,0.029201841,0.013156548,0.006715063
1,8,0.031239107,0.06256564,0.12505713,0.2457704,0.35295117,0.43908545,0.54968524,0.60031396,0.040784866,0.08235512,0.16733393,0.33986533,0.5044851,0.6479575,0.85188407,0.9590675,0.044450384,0.066199884,0.12611522,0.24677593,0.3539567,0.44009098,0.55069077,0.6013195,0.085673004,0.08909939,0.13249731,0.2482305,0.35496223,0.4410965,0.5516963,0.602325,0.1285093,0.12850922,0.14994687,0.2547437,0.35776612,0.44314528,0.55374503,0.60437375,0.05674356,0.08588097,0.16825736,0.3401944,0.50481415,0.6482866,0.85221314,0.9593966,0.11081002,0.11406115,0.17460126,0.3419421,0.50537574,0.6487813,0.85270786,0.9598913,0.16621494,0.16621624,0.19402942,0.34525314,0.5080036,0.65039325,0.85358405,0.9607675,0.013211275,0.003634247,0.001058094,0.001005536,0.001005536,0.054433897,0.026533756,0.007440182,0.004857009,0.002460102,0.0972702,0.06594358,0.024889745,0.011556466,0.008973287,0.015958695,0.003525853,0.000923425,0.000348606,0.000329063,0.07002515,0.031706028,0.007267322,0.002921429,0.002076781,0.12543008,0.08386113,0.026695484,0.01156031,0.005387825
1,9,0.032620613,0.06556121,0.13209715,0.26425308,0.3862598,0.48518878,0.5934345,0.6347653,0.04255874,0.086158246,0.17610559,0.36252093,0.54543144,0.70563066,0.9102722,1.0055157,0.045476794,0.068856426,0.13295904,0.26511496,0.38712168,0.48605067,0.5942964,0.6356272,0.08745001,0.09123612,0.13879281,0.2659943,0.38798356,0.48691255,0.5951583,0.6364891,0.13117486,0.13117485,0.15528786,0.27198955,0.38966718,0.48777443,0.59602016,0.637351,0.058447804,0.089479364,0.17692861,0.3628111,0.5457216,0.7059208,0.91056234,1.0058059,0.1139973,0.11758194,0.1828614,0.36433372,0.54601175,0.706211,0.9108525,1.006096,0.17099583,0.17099844,0.20170644,0.3669778,0.5484763,0.70759255,0.91142803,1.0066639,0.01285618,0.003295214,0.000861883,0.000861883,0.000861883,0.0548294,0.025674907,0.00669566,0.004122895,0.001741233,0.098554246,0.06561363,0.023190701,0.010309238,0.00773647,0.015889062,0.003321118,0.000823018,0.000290144,0.000290144,0.07143856,0.031423695,0.006755821,0.002639944,0.001812774,0.1284371,0.084840186,0.025600849,0.010588249,0.004456872
1,10,0.03290312,0.06610842,0.13306749,0.26525608,0.38519654,0.47934946,0.5854776,0.6281005,0.042956136,0.08694153,0.17756195,0.364478,0.5454913,0.7004303,0.9021071,0.998521,0.04579275,0.06938667,0.1339116,0.26610017,0.38604063,0.48019356,0.5863217,0.62894464,0.08802218,0.091864474,0.13973592,0.2669443,0.38688475,0.48103768,0.58716583,0.62978876,0.13203335,0.13203363,0.15632293,0.2730127,0.3887937,0.48188177,0.5880099,0.6306328,0.058945406,0.09027118,0.17838418,0.36476347,0.5457768,0.7007158,0.9023926,0.9988065,0.11494345,0.11857689,0.1843491,0.3663006,0.54607344,0.7010012,0.9026781,0.9990919,0.17241529,0.17242052,0.20334832,0.36893418,0.54857975,0.70250726,0.9034496,0.9998564,0.012889629,0.003278252,0.000844105,0.000844105,0.000844105,0.055119056,0.02575605,0.006668435,0.004133573,0.001688213,0.099130236,0.06592521,0.023255438,0.010291475,0.007756608,0.01598927,0.003329653,0.000822236,0.000285485,0.000285485,0.07198731,0.03163536,0.006787155,0.00263922,0.001822626,0.12945914,0.08547899,0.025786368,0.010682385,0.004456205
1,11,0.032972947,0.06603456,0.1318297,0.2572456,0.36524397,0.45116812,0.5661275,0.6206031,0.04339092,0.08759693,0.17774339,0.35869142,0.5271091,0.6722363,0.88218474,0.99270177,0.0465478,0.06985199,0.1329237,0.25830662,0.366305,0.45222914,0.5671885,0.6216641,0.089392364,0.09330695,0.13966724,0.25997567,0.367366,0.45329013,0.5682495,0.6227251,0.13408856,0.13408846,0.15771905,0.26676175,0.37057313,0.45611525,0.5710739,0.62554806,0.060304895,0.09138668,0.17874914,0.35905787,0.52747554,0.6726028,0.8825512,0.9930682,0.11743246,0.12120464,0.18559355,0.360999,0.52821714,0.67329985,0.8832481,0.99376476,0.1761488,0.17617835,0.20630468,0.36471656,0.53109574,0.67509806,0.88434654,0.9948632,0.013574853,0.003817424,0.001094008,0.00106101,0.00106101,0.056419417,0.027272386,0.007837556,0.005100028,0.002730059,0.10111561,0.068053894,0.025889346,0.012253678,0.009516151,0.016913977,0.003789749,0.001005755,0.000393225,0.000366442,0.074041545,0.033607714,0.007850153,0.003240209,0.002307577,0.13275789,0.08858141,0.028561294,0.01263533,0.006025128
1,12,0.026121134,0.05243178,0.10551045,0.21263522,0.31915963,0.4224567,0.6073626,0.82093817,0.03752988,0.07584349,0.15464564,0.3193948,0.48987436,0.6602519,0.97170043,1.309848,0.04607472,0.06220465,0.11039871,0.21752347,0.3240479,0.42734498,0.61225086,0.8258264,0.09065022,0.09227467,0.12533008,0.22257754,0.32893616,0.43223324,0.61713916,0.8307147,0.13597535,0.13597564,0.14963348,0.2339828,0.33441848,0.43712148,0.6220274,0.83560294,0.060742177,0.083346605,0.15724395,0.32125401,0.49173358,0.66211116,0.9735597,1.3117071,0.11974601,0.12182911,0.16977133,0.32512063,0.4935928,0.66397035,0.97541887,1.3135664,0.17961904,0.17962325,0.19933271,0.33572719,0.49933612,0.66635454,0.9772781,1.3154256,0.019953582,0.009772872,0.004888258,0.004888258,0.004888258,0.06452909,0.039842892,0.019819628,0.011541212,0.009942316,0.10985421,0.08354387,0.04412303,0.03031371,0.021347579,0.023212297,0.007503112,0.002598313,0.001859221,0.001859221,0.08221613,0.045985613,0.015125686,0.009465344,0.005725822,0.14208917,0.10377976,0.044687077,0.02333572,0.016332395
1,13,0.024135118,0.048415035,0.09733051,0.19593795,0.29418746,0.3901309,0.5657966,0.78378034,0.03590026,0.072534636,0.1478747,0.30563614,0.46990377,0.63608,0.9499435,1.3248751,0.046045512,0.059624467,0.10546262,0.20310563,0.3005602,0.39587456,0.57154024,0.78952396,0.09041383,0.092211865,0.12014545,0.21239029,0.30984488,0.40514487,0.57991046,0.7972279,0.1356206,0.13562025,0.14878601,0.22167493,0.31912953,0.41442952,0.5891951,0.80651253,0.06061554,0.081830785,0.15122493,0.30871361,0.47275642,0.63875073,0.9523596,1.3271493,0.11916459,0.1215941,0.16666919,0.3123898,0.4764326,0.6424269,0.9560358,1.330779,0.17874691,0.17874637,0.19894736,0.3267272,0.48044685,0.6461031,0.95971197,1.3344551,0.021910394,0.011209431,0.008132105,0.007649891,0.007167678,0.06627871,0.04379683,0.022814939,0.01693456,0.016452346,0.11148547,0.087205224,0.05145549,0.03512098,0.025736991,0.02471528,0.009296146,0.003350228,0.003213851,0.003077473,0.083264336,0.04905947,0.018794486,0.011269908,0.006753651,0.14284664,0.10621174,0.051072665,0.028650854,0.021091074
1,14,0.024502885,0.04921858,0.09922684,0.20105287,0.30447403,0.40791383,0.6067484,0.89897674,0.036950573,0.07476504,0.15289876,0.31833693,0.49410248,0.6765541,1.0402876,1.5633026,0.046671778,0.06140872,0.10987533,0.21169549,0.31511167,0.4185465,0.61737114,0.9095796,0.09119424,0.093479075,0.12396351,0.22241239,0.32582858,0.4292634,0.62808806,0.9202965,0.13679129,0.1367912,0.15462671,0.23312928,0.33654547,0.4399803,0.6388049,0.9310134,0.061746698,0.08548427,0.15739124,0.32282764,0.4985917,0.6810418,1.0447724,1.5677813,0.12058307,0.12387635,0.17454095,0.3273407,0.50310475,0.68555486,1.0492854,1.5722945,0.1808745,0.181015,0.20599023,0.34265056,0.5076178,0.6900679,1.0537984,1.5768075,0.022168893,0.012190142,0.010648487,0.010645556,0.010642617,0.06669136,0.044260498,0.024736673,0.021362465,0.021359526,0.1122884,0.08757262,0.055399876,0.037867755,0.032076407,0.024796125,0.010719227,0.004492478,0.004491596,0.004490712,0.08363249,0.049111303,0.021642191,0.013055982,0.009003755,0.14392392,0.10624997,0.053091463,0.032900125,0.024313644
1,15,0.02281172,0.04576462,0.092023365,0.1853857,0.27862453,0.3699646,0.5382729,0.7513244,0.03470883,0.07011047,0.14287181,0.2951236,0.45362633,0.6140837,0.9179875,1.2853552,0.046186205,0.058896363,0.10143171,0.19479318,0.28803116,0.37937036,0.5476769,0.76072496,0.090860136,0.09248718,0.11862072,0.2042024,0.29744038,0.38877958,0.55708617,0.7701342,0.13629007,0.13628986,0.1475117,0.2136116,0.30684957,0.39818877,0.56649536,0.7795434,0.06079936,0.080313705,0.14659986,0.2988514,0.4573539,0.617811,0.92171437,1.2890811,0.11979736,0.12194745,0.16345744,0.3025797,0.4610822,0.6215393,0.92544264,1.2928094,0.17969598,0.17969602,0.19787791,0.31950048,0.46512994,0.6252676,0.92917097,1.2965376,0.023374485,0.013131741,0.009408344,0.009407913,0.009407474,0.06804841,0.04672256,0.026597349,0.018817142,0.0188167,0.11347836,0.09052524,0.055488337,0.040617738,0.028225906,0.026090527,0.010203235,0.003728054,0.003727932,0.003727808,0.085088536,0.051836982,0.020585632,0.013696147,0.0074561,0.14498715,0.10958555,0.055006098,0.031266384,0.024376879
1,16,0.023023602,0.046178885,0.09280916,0.18675967,0.2803317,0.37169102,0.5388907,0.74574566,0.03531752,0.07131522,0.1452221,0.29949793,0.45950326,0.6207338,0.92328393,1.2784755,0.047006335,0.0597095,0.1024488,0.1963888,0.2899503,0.3812991,0.5484778,0.7552907,0.09253444,0.09412587,0.12021957,0.20603897,0.29960048,0.39094928,0.558128,0.76494086,0.13880163,0.13880166,0.14973597,0.21568911,0.30925062,0.40059945,0.5677781,0.774591,0.06239136,0.08195149,0.14911331,0.30338612,0.4633884,0.6246159,0.92716,1.2823395,0.12303834,0.12512758,0.16668525,0.30728036,0.46728265,0.6285102,0.93105423,1.2862337,0.18455747,0.18455698,0.20249283,0.3250117,0.47179288,0.6324044,0.9349485,1.290128,0.023982735,0.013530616,0.009639637,0.009634386,0.009629126,0.06951083,0.04794698,0.02741041,0.019284556,0.019279296,0.11577804,0.09262277,0.0569268,0.041870784,0.028929444,0.027073838,0.010636266,0.003891216,0.003889703,0.003888186,0.08772081,0.053812366,0.02146316,0.01436961,0.007782425,0.14923994,0.11324175,0.05727073,0.032607727,0.025513778
1,17,0.021063102,0.04213821,0.084230885,0.16744412,0.24778125,0.32311264,0.4495746,0.5650401,0.032838386,0.066129476,0.13388264,0.27248254,0.41155392,0.54580736,0.7757371,0.9747838,0.04626218,0.05629424,0.09236248,0.17556666,0.25589472,0.33121705,0.45766088,0.5730902,0.09212087,0.092604145,0.11293191,0.18370734,0.2640354,0.33935773,0.46580157,0.5812309,0.13818122,0.1381812,0.14333361,0.19929534,0.27217606,0.3474984,0.47394222,0.5893715,0.06128709,0.07690912,0.13795118,0.27554333,0.41461226,0.5488633,0.77878815,0.97782505,0.12208486,0.12264199,0.1556637,0.28144172,0.4176779,0.55192894,0.7818538,0.9808907,0.18312715,0.18312673,0.19286454,0.29706052,0.4263643,0.5549946,0.78491944,0.9839564,0.025199074,0.014156027,0.008131594,0.008127069,0.008122535,0.071057774,0.05046593,0.028701019,0.016658055,0.01626321,0.11711812,0.09604298,0.059102733,0.04389484,0.03185122,0.028448705,0.010779638,0.004068538,0.003062001,0.003060781,0.08924648,0.056512512,0.021781065,0.014323388,0.008959182,0.15028878,0.11699725,0.05898189,0.03364655,0.024577975
