group,seg_id,mp_id,use_mp,plan_code,broker_aig,gmwb_type_aig,hiloband_aig,crediting_type_aig,stat_valn_code,tax_valn_code,issue_age_male_aig,issue_age_female_aig,gender_mp,male_sex_pct,single_prem,reins_pct,init_policies,init_policies_joint_aig,init_policies_male_aig,init_policies_female_aig,init_contract_val,host_accrual_rate,init_host_val,init_hedge_budget,grop_ind_aig,gmwb_ind,gmwb_dth_ben_ind_aig,gmwb_exercise_yrs,init_gmwb_fund_val,init_gmwb_prem,init_gmwb_max_wdl_amt,gmwb_sfas133_req_prof_chg,init_withdrl_cumul,init_pfwd_curr_pol_yr,init_pfwd_entitlement,init_fund_val_fixed,init_fund_val_index0,init_fund_val_index1,init_fund_val_index2,init_fund_val_index3,init_fund_val_index4,init_rebal_pct_fixed,init_rebal_pct_index0,init_rebal_pct_index1,init_rebal_pct_index2,init_rebal_pct_index3,init_rebal_pct_index4,init_comm_subject_to_chargeback,init_stat_res_carvm,init_tax_res_carvm,preincome_exercise_yrs_aig,prop_female_owned_aig,prop_male_owned_aig,prop_joint_owned_aig,gender_aft_act_aig
Dev-29,Seg,Dev-29,No,ANN0,ANN,LIPM,H,MS5PRt,1994USMgdbAlb,1994USMgdbAlb,60,60,Joint,0,32500,0,0.26,1,0,0,0,0,26000,0,0,1,1,5,32500,32500,0,0,0,0,0,0,32500,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0.29,0.36,0.35,Joint
Dev-30,Seg,Dev-30,No,ANN0,ANN,LIPM,H,MS5PRt,1994USMgdbAlb,1994USMgdbAlb,70,70,Joint,0,12500,0,0.1,1,0,0,0,0,10000,0,0,1,1,5,12500,12500,0,0,0,0,0,0,12500,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0.29,0.36,0.35,Joint
Dev-31,Seg,Dev-31,No,PS,MSG,LIP,H,SP1Cap,1994USMgdbAlb,1994USMgdbAlb,75,75,Female,0,2500,0,0.02,1,0,0,0,0,2000,0,0,1,0,5,2500,2500,0,0,0,0,0,0,2500,0,0,0,0,0,1,0,0,0,0,0,0,0,999,1,0,0,Female
Dev-32,Seg,Dev-32,No,PS,MSG,LIP,H,ML2Cap,1994USMgdbAlb,1994USMgdbAlb,45,45,Female,0,8750,0,0.07,1,0,0,0,0,7000,0,0,1,0,10,8750,8750,0,0,0,0,0,0,8750,0,0,0,0,0,1,0,0,0,0,0,0,0,999,1,0,0,Female
Dev-33,Seg,Dev-33,No,PS,MSG,LIP,H,SP1Cap,1994USMgdbAlb,1994USMgdbAlb,50,50,Female,0,15000,0,0.12,1,0,0,0,0,12000,0,0,1,0,10,15000,15000,0,0,0,0,0,0,15000,0,0,0,0,0,1,0,0,0,0,0,0,0,999,1,0,0,Female
Dev-34,Seg,Dev-34,No,PS,MSG,LIP,H,ML2Cap,1994USMgdbAlb,1994USMgdbAlb,55,55,Female,0,21000,0,0.168,1,0,0,0,0,16800,0,0,1,0,10,21000,21000,0,0,0,0,0,0,21000,0,0,0,0,0,1,0,0,0,0,0,0,0,999,1,0,0,Female
Dev-35,Seg,Dev-35,No,PS,MSG,LIPM,H,SP1Cap,1994USMgdbAlb,1994USMgdbAlb,45,45,Female,0,5000,0,0.04,1,0,0,0,0,4000,0,0,1,0,15,5000,5000,0,0,0,0,0,0,5000,0,0,0,0,0,1,0,0,0,0,0,0,0,999,1,0,0,Female
Dev-36,Seg,Dev-36,No,PS,MSG,LIPM,H,ML2Cap,1994USMgdbAlb,1994USMgdbAlb,45,45,Female,0,5000,0,0.04,1,0,0,0,0,4000,0,0,1,0,999,5000,5000,0,0,0,0,0,0,5000,0,0,0,0,0,1,0,0,0,0,0,0,0,999,1,0,0,Female
Dev-37,Seg,Dev-37,No,PS,MSG,LIPM,H,SP1Cap,1994USMgdbAlb,1994USMgdbAlb,50,50,Female,0,15000,0,0.12,1,0,0,0,0,12000,0,0,1,0,999,15000,15000,0,0,0,0,0,0,15000,0,0,0,0,0,1,0,0,0,0,0,0,0,999,1,0,0,Female
Dev-38,Seg,Dev-38,No,PS,MSG,LIPM,H,ML2Cap,1994USMgdbAlb,1994USMgdbAlb,55,55,Female,0,21000,0,0.168,1,0,0,0,0,16800,0,0,1,0,999,21000,21000,0,0,0,0,0,0,21000,0,0,0,0,0,1,0,0,0,0,0,0,0,999,1,0,0,Female
Dev-39,Seg,Dev-39,No,ANN0,ANN,LIPM,H,MS5PRt,1994USMgdbAlb,1994USMgdbAlb,65,65,Female,0,21000,0,0.168,1,0,0,0,0,16800,0,0,1,1,20,21000,21000,0,0,0,0,0,0,21000,0,0,0,0,0,1,0,0,0,0,0,0,0,5,1,0,0,Female
Dev-40,Seg,Dev-40,No,ANN0,ANN,LIPM,H,MS5PRt,1994USMgdbAlb,1994USMgdbAlb,75,75,Female,0,2000,0,0.016,1,0,0,0,0,1600,0,0,1,1,20,2000,2000,0,0,0,0,0,0,2000,0,0,0,0,0,1,0,0,0,0,0,0,0,5,1,0,0,Female
Dev-41,Seg,Dev-41,No,PS,MSG,LIP,H,ML2Cap,1994USMgdbAlb,1994USMgdbAlb,50,50,Joint,1,8750,0,0.07,1,0,0,0,0,7000,0,0,1,0,10,8750,8750,0,0,0,0,0,0,8750,0,0,0,0,0,1,0,0,0,0,0,0,0,999,0.29,0.36,0.35,Joint
Dev-42,Seg,Dev-42,No,WF7,WF,LIP,H,ML1Cap,1994USMgdbAlb,1994USMgdbAlb,50,50,Joint,1,8750,0,0.07,1,0,0,0,0,7000,0,0,1,0,10,8750,8750,0,0,0,0,0,0,8750,0,0,0,0,0,1,0,0,0,0,0,0,0,999,0.29,0.36,0.35,Joint
Dev-43,Seg,Dev-43,No,PS,MSG,BASE,H,ML2Cap,1994USMgdbAlb,1994USMgdbAlb,55,55,Blended,1,42000,0,0.336,1,0,0,0,0,33600,0,0,0,0,0,42000,42000,0,0,0,0,0,0,42000,0,0,0,0,0,1,0,0,0,0,0,0,0,999,0,0,0,Blended
Dev-44,Seg,Dev-44,No,PS,MSG,BASE,H,SP1Cap,1994USMgdbAlb,1994USMgdbAlb,60,60,Blended,1,71500,0,0.572,1,0,0,0,0,57200,0,0,0,0,0,71500,71500,0,0,0,0,0,0,71500,0,0,0,0,0,1,0,0,0,0,0,0,0,999,0,0,0,Blended
Dev-45,Seg,Dev-45,No,PS,MSG,BASE,H,ML2Cap,1994USMgdbAlb,1994USMgdbAlb,65,65,Blended,1,57750,0,0.462,1,0,0,0,0,46200,0,0,0,0,0,57750,57750,0,0,0,0,0,0,57750,0,0,0,0,0,1,0,0,0,0,0,0,0,999,0,0,0,Blended
Dev-46,Seg,Dev-46,No,PS,MSG,BASE,H,SP1Cap,1994USMgdbAlb,1994USMgdbAlb,70,70,Blended,1,27500,0,0.22,1,0,0,0,0,22000,0,0,0,0,0,27500,27500,0,0,0,0,0,0,27500,0,0,0,0,0,1,0,0,0,0,0,0,0,999,0,0,0,Blended
Dev-47,Seg,Dev-47,No,PS,MSG,BASE,H,ML2Cap,1994USMgdbAlb,1994USMgdbAlb,75,75,Blended,1,5500,0,0.044,1,0,0,0,0,4400,0,0,0,0,0,5500,5500,0,0,0,0,0,0,5500,0,0,0,0,0,1,0,0,0,0,0,0,0,999,0,0,0,Blended
Dev-48,Seg,Dev-48,No,PS,MSG,BASE,H,SP1Cap,1994USMgdbAlb,1994USMgdbAlb,45,45,Blended,1,6250,0,0.05,1,0,0,0,0,5000,0,0,0,0,5,6250,6250,0,0,0,0,0,0,6250,0,0,0,0,0,1,0,0,0,0,0,0,0,999,0,0,0,Blended
Dev-49,Seg,Dev-49,No,PS,MSG,BASE,H,ML2Cap,1994USMgdbAlb,1994USMgdbAlb,50,50,Blended,1,26250,0,0.21,1,0,0,0,0,21000,0,0,0,0,5,26250,26250,0,0,0,0,0,0,26250,0,0,0,0,0,1,0,0,0,0,0,0,0,999,0,0,0,Blended
